2016-01-09 09:37:29 status unpacked libxslt1.1:amd64 1.1.28-2build2
2016-01-09 09:37:29 status half-configured libxslt1.1:amd64 1.1.28-2build2
2016-01-09 09:37:29 status installed libxslt1.1:amd64 1.1.28-2build2
2016-01-09 09:37:29 status triggers-pending libc-bin:amd64 2.21-0ubuntu4
2016-01-09 09:37:29 configure nginx-common:all 1.6.2-5ubuntu3.1 <none>
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status triggers-pending systemd:amd64 219-7ubuntu6
2016-01-09 09:37:29 status triggers-pending ureadahead:amd64 0.100.0-19
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status triggers-pending ufw:all 0.34~rc-0ubuntu5
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status unpacked nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status half-configured nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status triggers-awaited nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 trigproc ufw:all 0.34~rc-0ubuntu5 <none>
2016-01-09 09:37:29 status half-configured ufw:all 0.34~rc-0ubuntu5
2016-01-09 09:37:29 status installed nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status installed ufw:all 0.34~rc-0ubuntu5
2016-01-09 09:37:29 configure nginx-core:amd64 1.6.2-5ubuntu3.1 <none>
2016-01-09 09:37:29 status unpacked nginx-core:amd64 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status half-configured nginx-core:amd64 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status installed nginx-core:amd64 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 configure nginx:all 1.6.2-5ubuntu3.1 <none>
2016-01-09 09:37:29 status unpacked nginx:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status half-configured nginx:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 status installed nginx:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:29 trigproc libc-bin:amd64 2.21-0ubuntu4 <none>
2016-01-09 09:37:29 status half-configured libc-bin:amd64 2.21-0ubuntu4
2016-01-09 09:37:29 status installed libc-bin:amd64 2.21-0ubuntu4
2016-01-09 09:37:29 trigproc systemd:amd64 219-7ubuntu6 <none>
2016-01-09 09:37:29 status half-configured systemd:amd64 219-7ubuntu6
2016-01-09 09:37:29 status installed systemd:amd64 219-7ubuntu6
2016-01-09 09:37:29 trigproc ureadahead:amd64 0.100.0-19 <none>
2016-01-09 09:37:29 status half-configured ureadahead:amd64 0.100.0-19
2016-01-09 09:37:29 status installed ureadahead:amd64 0.100.0-19
2016-01-09 09:37:30 startup packages configure
2016-01-09 09:37:39 startup archives unpack
2016-01-09 09:37:39 install libaio1:amd64 <none> 0.3.110-1
2016-01-09 09:37:39 status half-installed libaio1:amd64 0.3.110-1
2016-01-09 09:37:39 status unpacked libaio1:amd64 0.3.110-1
2016-01-09 09:37:39 status unpacked libaio1:amd64 0.3.110-1
2016-01-09 09:37:39 install mysql-common:all <none> 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:39 status half-installed mysql-common:all 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:39 status unpacked mysql-common:all 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:39 status unpacked mysql-common:all 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:39 install libmysqlclient18:amd64 <none> 5.6.27-0ubuntu0.15.04.1
